competitionId	name	cityname	countryId	competitors	year	month	day
TaiwanWinterOpen2011	Taiwan Winter Open 2011	Tainan	Taiwan	69	2011	2	12
XinXiangSpring2011	XinXiang Spring Festival Open 2011	Xinxiang, Henan Province	China	25	2011	2	13
BeijingFebruary2011	Beijing February Open 2011	Beijing	China	21	2011	2	20
XianSpring2011	Xi'an Spring 2011	Xi'an, Shaanxi Province	China	36	2011	3	6
BeijingAfterDark2011	Beijing After Dark 2011	Beijing	China	14	2011	3	19
OneToEight2011	One-to-eight Cubes Competition 2011	Guangzhou, Guangdong Province	China	59	2011	3	20
TaiwanSpringOpen2011	Taiwan Spring Open 2011	Hsinchu	Taiwan	50	2011	4	2
ShanghaiSpring2011	Shanghai Spring 2011	Shanghai	China	17	2011	4	9
XianSummer2011	Xi'an Summer 2011	Xi'an, Shaanxi Province	China	32	2011	4	10
BeijingSpring2011	Beijing Spring 2011	Beijing	China	91	2011	4	23
GuangzhouHaizhu2011	Guangzhou Haizhu Library 2011	Guangzhou, Guangdong Province	China	30	2011	4	24
FloatingClouds2011	Floating Clouds Open 2011	Xi'an, Shaanxi Province	China	35	2011	5	1
ShenzhenUniversity2011	Shenzhen University 2011	Shenzhen, Guangdong Province	China	47	2011	5	1
NanjingSpring2011	Nanjing Spring 2011	Nanjing	China	90	2011	5	14
BeijingFootsteps2011	Beijing Footsteps 2011	Beijing	China	14	2011	5	15
Taiyuan2011	Taiyuan 2011	Taiyuan, Shanxi Province	China	54	2011	5	21
CubikBoxCup2011	Cubik Box Cup 2011	Taipei	Taiwan	54	2011	6	4
HenanUniversityOpen2011	Henan University of Science & Technology Open 2011	Luoyang, Henan	China	31	2011	6	19
YingkouOpen2011	Yingkou Open 2011	Yingkou City	China	28	2011	6	19
CyclopsOpen2011	Cyclops Open 2011	Beijing	China	17	2011	6	25
ZhengzhouOpen2011	Zhengzhou Open 2011	Zhengzhou, Henan Province	China	12	2011	6	26
HefeiOpen2011	Hefei After Term Open 2011	Hefei	China	45	2011	7	16
XiamenOpen2011	Xiamen Open 2011	Xiamen, Fujian Province	China	67	2011	7	16
BeijingSummer2011	Beijing Summer Open 2011	Beijing	China	85	2011	7	31
GuangzhouSummerVacation2011	Guangzhou Summer Vacation 2011	Guangzhou, Guangdong Province	China	73	2011	7	31
ShandongOpen2011	Shandong Open 2011	Jinan	China	65	2011	7	31
XiningSummer2011	Xining Summer Open 2011	Xining	China	40	2011	8	6
XianLucky2011	Xi'an Lucky Open 2011	Xi'an, Shaanxi Province	China	30	2011	8	14
HangzhouOpen2011	Hangzhou Open 2011	Hangzhou, Zhejiang	China	92	2011	8	20
TaiwanSummer2011	Taiwan Summer 2011	Kaohsiung	Taiwan	81	2011	8	21
ShanghaiMeatballFall2011	Shanghai Meatball Fall 2011	Shanghai	China	32	2011	8	27
XianAutumn2011	Xi'an Autumn Open 2011	Xi'an, Shaanxi Province	China	41	2011	10	1
GuangzhouCubeDay2011	Guangzhou Cube Day 2011	Guangzhou, Guangdong Province	China	16	2011	10	2
SuzhouOpen2011	Suzhou Open 2011	Suzhou	China	43	2011	10	3
ShenYangOpen2011	ShenYang Open 2011	Shenyang	China	154	2011	10	4
TaipeiOpen2011	Taipei Open 2011	Taipei	Taiwan	65	2011	10	8
NanjingAutumn2011	Nanjing Autumn 2011	Nanjing	China	39	2011	10	30
ChinaFMBeijing2011	China FM Beijing 2011	Beijing	China	13	2011	11	6
ChinaFMGuangzhou2011	China FM Guangzhou 2011	Guangzhou, Guangdong Province	China	6	2011	11	6
ChinaFMShanghai2011	China FM Shanghai 2011	Shanghai	China	13	2011	11	6
ChinaFMShenyang2011	China FM Shenyang 2011	Shenyang, Liaoning Province	China	3	2011	11	6
ChinaFMXian2011	China FM Xi'an 2011	Xi'an, Shaanxi Province	China	15	2011	11	6
ChinaFMZhengzhou2011	China FM Zhengzhou 2011	Zhengzhou, Henan Province	China	3	2011	11	6
ZhengzhouAutumn2011	Zhengzhou Autumn 2011	Zhengzhou, Henan Province	China	48	2011	11	20
ShanghaiPortOpen2011	Shanghai Port Open 2011	Shanghai	China	37	2011	11	26
ChangshaOpen2011	Changsha Open 2011	Changsha, Hunan Province	China	41	2011	11	27
GuangzhouWinter2011	Guangzhou Winter 2011	Guangzhou, Guangdong Province	China	42	2011	12	3
HumanRightsDay2011	Human Rights Day 2011	Beijing	China	66	2011	12	10
ShanghaiWinter2011	Shanghai Snowball Winter 2011	Shanghai	China	22	2011	12	24
XianWinter2011	Xi'an Winter 2011	Xi'an, Shaanxi Province	China	14	2011	12	24
TianjinOpen2011	Tianjin Open 2011	Tianjin	China	42	2011	12	25
XianYangling2012	Xi'an Yangling 2012	Xi'an, Shaanxi Province	China	20	2012	1	1
HenanCountryside2012	Henan Countryside 2012	Anyang, Henan	China	12	2012	1	23
TaiwanWinter2012	Taiwan Winter 2012	Hsinchu	Taiwan	62	2012	2	11
HotSpringFestival2012	Hot Spring Festival 2012	Beijing	China	12	2012	2	18
HefeiSpring2012	Hefei Spring 2012	Hefei, Anhui Province	China	59	2012	3	10
NanjingSpring2012	Nanjing Spring 2012	Nanjing	China	96	2012	3	25
QingmingOpen2012	Xi'an Qingming Open 2012	Xi'an, Shaanxi Province	China	40	2012	4	4
ShanghaiDonghua2012	Shanghai Donghua 2012	Shanghai	China	52	2012	4	7
ChangshaSpring2012	Changsha Spring 2012	Changsha	China	25	2012	4	8
XianCherryBlossom2012	Xi'an Cherry Blossom 2012	Xi'an	China	38	2012	4	15
InnerMongolia2012	Inner Mongolia 2012	Hohhot, Inner Mongolia	China	40	2012	5	13
ChinaTourismDay2012	China Tourism Day 2012	Beijing	China	43	2012	5	19
TaiyuanOpen2012	Taiyuan Open 2012	Taiyuan, Shanxi Province	China	54	2012	5	19
GuangzhouSCUT2012	Guangzhou SCUT 2012	Guangzhou, Guangdong Province	China	53	2012	5	20
PKUFM2012	PKU FM 2012	Beijing	China	12	2012	5	26
GuangzhouSCAU2012	Guangzhou SCAU 2012	Guangzhou	China	48	2012	5	27
TianjinOpen2012	Tianjin Open 2012	Tianjin	China	34	2012	5	27
ShanghaiSummer2012	Shanghai Summer 2012	Shanghai	China	146	2012	7	21
QingdaoOpen2012	Qingdao Open 2012	Qingdao, Shandong Province	China	53	2012	7	29
GuiyangOpen2012	Guiyang Open 2012	Guiyang, Guizhou Province	China	73	2012	8	5
HefeiSummer2012	Hefei Summer 2012	Hefei, Anhui Province	China	49	2012	8	5
BeijingSummer2012	Beijing Summer 2012	Beijing	China	84	2012	8	12
Guangdong2012	Guangdong Open 2012	Guangzhou, Guangdong Province	China	79	2012	8	18
QinghaiOpen2012	Qinghai Open 2012	Xining, Qinghai Province	China	30	2012	8	19
TaiwanSummer2012	Taiwan Summer Open 2012	Taipei	Taiwan	120	2012	8	25
