name	city	value	year	month	day
TaiyuanOpen2012	山西	54	2012	5	19
GuangzhouSCUT2012	广东	53	2012	5	20
PKUFM2012	北京	12	2012	5	26
GuangzhouSCAU2012	广东	48	2012	5	27
TianjinOpen2012	天津	34	2012	5	27
ShanghaiSummer2012	上海	146	2012	7	21
QingdaoOpen2012	山东	53	2012	7	29
GuiyangOpen2012	贵州	73	2012	8	5
HefeiSummer2012	安徽	49	2012	8	5
BeijingSummer2012	北京	84	2012	8	12
Guangdong2012	广东	79	2012	8	18
QinghaiOpen2012	青海	30	2012	8	19
TaiwanSummer2012	台湾	120	2012	8	25
TibetOpen2012	西藏	17	2012	8	26
HangzhouOpen2012	浙江	43	2012	9	22
AsianChampionship2012	香港	141	2012	10	5
ShandongOpen2012	山东	69	2012	10	14
NanjingAutumn2012	江苏	55	2012	10	27
WuhanOpen2012	湖北	68	2012	11	4
SuzhouOpen2012	江苏	42	2012	11	10
BeijingWinter2012	北京	85	2012	11	24
NanjingWinter2012	江苏	73	2012	11	25
GuangzhouHEMC2012	广东	54	2012	12	9
TianjinWinter2012	天津	56	2012	12	23
XianNewborn2012	陕西	49	2012	12	23
GuangzhouFMC2012	广东	16	2012	12	30
MagicRevenge2012	台湾	50	2012	12	30
GuilinOpen2013	广西	32	2013	1	1
TaiwanWinterOpen2013	台湾	42	2013	3	3
ZhejiangUniversity2013	浙江	79	2013	3	23
MaruCubeDay2013	台湾	41	2013	3	30
NanjingNormalUniversity2013	江苏	97	2013	4	6
WeifangOpen2013	山东	78	2013	4	14
XianCherryBlossom2013	陕西	55	2013	4	14
SMU2013	上海	34	2013	4	20
LanzhouOpen2013	甘肃	41	2013	4	30
ZhengzhouSpringOpen2013	河南	54	2013	4	30
Guangzhou2013	广东	64	2013	5	1
BUAAOpen2013	北京	54	2013	5	12
NUAAOpen2013	江苏	43	2013	5	12
XianSummer2013	陕西	32	2013	5	25
GuangzhouSCAU2013	广东	45	2013	5	26
LuoyangOpen2013	河南	53	2013	6	16
NanningOpen2013	广西	36	2013	7	14
YingkouOpen2013	辽宁	75	2013	7	14
ShantouOpen2013	广东	67	2013	7	19
GuangzhouCCSA2013	广东	116	2013	7	22
HefeiOpen2013	安徽	94	2013	7	27
ShanghaiSummer2013	上海	134	2013	8	3
BeijingSummer2013	北京	72	2013	8	10
ChongqingOpen2013	重庆	69	2013	8	10
